,question,answer
3744,i would if i could find someone who makes strong pockets.,try a google search online.
3745,what are those wipes for?,you use them to wipe the handle of the shopping cart.
3746,you use them to wipe the handle of the shopping cart.,that's a great idea.
3747,that's a great idea.,"yes, all the markets just started offering wipes to shoppers."
3748,"yes, all the markets just started offering wipes to shoppers.",i'm going to take five wipes.
3749,i'm going to take five wipes.,what do you need five of them for?
3750,what do you need five of them for?,"one to wipe the handle, and the others to wipe the produce."
3751,"one to wipe the handle, and the others to wipe the produce.",what's the matter with the produce?
3752,what's the matter with the produce?,do you think the bananas fell from the sky?
3753,do you think the bananas fell from the sky?,what do you mean?
3754,what do you mean?,"i mean, someone used their dirty hands to pick the bananas, the apples, and the oranges."
3755,"i mean, someone used their dirty hands to pick the bananas, the apples, and the oranges.","well, you better save a wipe for the dirty dollar bills you're going to pay with."
3756,did you go to the 99 cents store?,"yes, i did."
3757,"yes, i did.",what did you buy?
3758,what did you buy?,"well, i got a lot of good deals, as usual."
3759,"well, i got a lot of good deals, as usual.",like what?
3760,like what?,"well, a dozen large eggs were only 99 cents."
3761,"well, a dozen large eggs were only 99 cents.",that's a good deal.
3762,that's a good deal.,and a one-pound tub of soft butter was the same price.
3763,and a one-pound tub of soft butter was the same price.,another good deal.
3764,another good deal.,but the best deal was five pounds of potatoes for 99 cents.
3765,but the best deal was five pounds of potatoes for 99 cents.,i don't know how that store makes money.
3766,i don't know how that store makes money.,"neither do i, but they're doing something right."
3767,i need a new computer.,what's the matter with yours?
3768,what's the matter with yours?,it's six years old.
3769,it's six years old.,that's pretty old.
3770,that's pretty old.,"it still works, but i'm going to give it to a charity."
3771,"it still works, but i'm going to give it to a charity.",are you going to buy a desktop or laptop?
3772,are you going to buy a desktop or laptop?,"oh, a laptop, of course."
3773,"oh, a laptop, of course.",a pc or a mac?
3774,a pc or a mac?,i haven't decided yet.
3775,i haven't decided yet.,more and more people are using macs.
3776,more and more people are using macs.,but 90 percent of the world uses pcs.
3777,but 90 percent of the world uses pcs.,and that's not going to change anytime soon.
3778,i got ripped off.,what happened?
3779,what happened?,"i had a car problem, so i went online."
3780,"i had a car problem, so i went online.",did you find a solution?
3781,did you find a solution?,"yes, i did. a site i went to said they would send me the solution."
3782,"yes, i did. a site i went to said they would send me the solution.","so, what's the problem?"
3783,"so, what's the problem?","i sent them $20 using my credit card, but they never sent me the solution."
3784,"i sent them $20 using my credit card, but they never sent me the solution.",what are you going to do?
3785,what are you going to do?,i sent them an email asking for my money back.
3786,i sent them an email asking for my money back.,have you heard from them?
3787,have you heard from them?,not yet. it's been a week.
3788,not yet. it's been a week.,"well, i guess that's a $20 lesson for you."
3789,where's the pencil sharpener?,which one?
3790,which one?,any one. i need to sharpen this pencil.
3791,any one. i need to sharpen this pencil.,i think there's one on the dining room table.
3792,i think there's one on the dining room table.,i already looked there.
3793,i already looked there.,did you look in the desk drawer?
3794,did you look in the desk drawer?,"yes, i looked there, too."
3795,"yes, i looked there, too.",don't we have about five sharpeners?
3796,don't we have about five sharpeners?,"yes, but they seem to have legs."
3797,"yes, but they seem to have legs.",tomorrow i'm going to buy an electric sharpener.
3798,tomorrow i'm going to buy an electric sharpener.,get one with the rubber suction cups on the bottom.
3799,get one with the rubber suction cups on the bottom.,yes. that way it will stay where i put it.
3800,i'm trying to stretch my dollars.,how are you doing that?
3801,how are you doing that?,i started shopping at the dollar store.
3802,i started shopping at the dollar store.,that saves a lot of money.
3803,that saves a lot of money.,i bought three pounds of potatoes for a dollar.
3804,i bought three pounds of potatoes for a dollar.,that's a good deal.
3805,that's a good deal.,"yes, even though some of the potatoes had eyes."
3806,"yes, even though some of the potatoes had eyes.",just put them in the fridge.
3807,just put them in the fridge.,"also, i bought a can of cheap coffee and a bag of good coffee."
3808,"also, i bought a can of cheap coffee and a bag of good coffee.",why did you do that?
3809,why did you do that?,i mixed them together.
3810,i mixed them together.,"if the coffee still tastes okay, that's a good idea."
3811,i really like this house.,can we afford it?
3812,can we afford it?,they want 20 percent down.
3813,they want 20 percent down.,that's a lot of money.
3814,that's a lot of money.,but the house is so nice.
3815,but the house is so nice.,it's in a great neighborhood.
3816,it's in a great neighborhood.,it's close to the beach.
3817,it's close to the beach.,it's close to the freeways.
3818,it's close to the freeways.,it's got a big yard.
3819,it's got a big yard.,"the kids love the house, too."
3820,"the kids love the house, too.","if we don't buy it, someone else will."
3821,"if we don't buy it, someone else will.",you're right. let's buy it now. we can worry later.
3822,we can't afford this house.,are you sure?
3823,are you sure?,"we will be house rich, but cash poor."
3824,"we will be house rich, but cash poor.",what do you mean?
3825,what do you mean?,our monthly payments will be too high.
3826,our monthly payments will be too high.,we won't have any money for other things?
3827,we won't have any money for other things?,"no, we won't have money for gas or food."
3828,"no, we won't have money for gas or food.",we'll be eating peanut butter sandwiches?
3829,we'll be eating peanut butter sandwiches?,without the peanut butter!
3830,without the peanut butter!,that's no good!
3831,that's no good!,we have to find a cheaper house.
3832,we have to find a cheaper house.,of course. we can't live without gas or peanut butter.
3833,that is a beautiful house.,i don't like it.
3834,i don't like it.,what's the matter with it?
3835,what's the matter with it?,it's on the corner.
3836,it's on the corner.,so?
3837,so?,that means it gets twice as much traffic.
3838,that means it gets twice as much traffic.,you're right.
3839,you're right.,"when you're inside, you will always hear cars stopping and stopping at the intersection."
3840,"when you're inside, you will always hear cars stopping and stopping at the intersection.",or you'll hear the collision if someone doesn't stop.
3841,or you'll hear the collision if someone doesn't stop.,or you'll see the collision if they crash into the house.
3842,or you'll see the collision if they crash into the house.,let's find a house that's at the end of a dead end.
3843,let's find a house that's at the end of a dead end.,"that's perfect. the less traffic, the better."
3844,i hate looking for an apartment.,"me, too."
3845,"me, too.",we have a 2 o'clock appointment to see the one on main street.
3846,we have a 2 o'clock appointment to see the one on main street.,we'd better get ready to go.
3847,we'd better get ready to go.,it's an upstairs unit.
3848,it's an upstairs unit.,"that's good, because i don't want to live under people with loud feet."
3849,"that's good, because i don't want to live under people with loud feet.",and it's a corner unit.
3850,and it's a corner unit.,that's great. we won't have neighbors on both sides of us.
3851,that's great. we won't have neighbors on both sides of us.,no pets are allowed.
3852,no pets are allowed.,perfect. we don't have to listen to barking dogs.
3853,perfect. we don't have to listen to barking dogs.,and there are only six units in the whole building.
3854,and there are only six units in the whole building.,where's the checkbook? i'm ready to rent it without even seeing it.
3855,did you call the manager?,yes. he said he'd come over tomorrow.
3856,yes. he said he'd come over tomorrow.,did he say what time?
3857,did he say what time?,yes. he said he'd be here at 9 o'clock.
3858,yes. he said he'd be here at 9 o'clock.,did he understand what the problem is?
3859,did he understand what the problem is?,yes. i told him our doorbell doesn't work.
3860,yes. i told him our doorbell doesn't work.,it shouldn't take him long to fix it.
3861,it shouldn't take him long to fix it.,i don't even know why we need to fix it.
3862,i don't even know why we need to fix it.,in case we have visitors.
3863,in case we have visitors.,but they can just knock on the door.
3864,but they can just knock on the door.,"actually, i want him to look at our carpet, too."
3865,"actually, i want him to look at our carpet, too.","yes, it would be nice if he'd give us a new carpet."
3866,do you like this house?,"yes, it's beautiful."
3867,"yes, it's beautiful.",it's perfect for us and the kids.
3868,it's perfect for us and the kids.,"three bedrooms, three bathrooms, and a big back yard."
3869,"three bedrooms, three bathrooms, and a big back yard.",and we can afford it!
3870,and we can afford it!,so are we going to buy it?
3871,so are we going to buy it?,i'm afraid not.
3872,i'm afraid not.,"it's too far from your job, isn't it?"
3873,"it's too far from your job, isn't it?",i can't spend four hours on the road every day.
3874,i can't spend four hours on the road every day.,"by the time you get home, you'll be too tired to even eat."
3875,"by the time you get home, you'll be too tired to even eat.",i won't be able to play with the kids.
3876,i won't be able to play with the kids.,"no, we have to find something closer to your job."
3877,"boy, it's chilly outside, isn't it?",it sure is.
3878,it sure is.,"in fact, it's chilly in the apartment, too."
3879,"in fact, it's chilly in the apartment, too.",let's turn on the heat.
3880,let's turn on the heat.,i'll check to make sure that all the windows are shut.
3881,i'll check to make sure that all the windows are shut.,it should be warmer in a few minutes.
3882,it should be warmer in a few minutes.,it's so nice to have a heated apartment.
3883,it's so nice to have a heated apartment.,how did they survive in the old days?
3884,how did they survive in the old days?,they had fireplaces.
3885,they had fireplaces.,someone had to chop the wood.
3886,someone had to chop the wood.,and carry it into the house.
3887,and carry it into the house.,all we have to do is flip a switch.
3888,this is a nice neighborhood.,the streets are clean and quiet.
3889,the streets are clean and quiet.,the neighbors don't party on the weekends.
3890,the neighbors don't party on the weekends.,people take care of their lawns.
3891,people take care of their lawns.,no rusty old cars are sitting in the front yards.
3892,no rusty old cars are sitting in the front yards.,we never have to call the police about anything.
3893,we never have to call the police about anything.,our kids are completely safe.
3894,our kids are completely safe.,so why are we selling our house?
3895,so why are we selling our house?,they're building a 3-story apartment building on the corner.
3896,they're building a 3-story apartment building on the corner.,so we've got to sell before property values go down?
3897,so we've got to sell before property values go down?,yes. i still can't believe our city council allowed this building.
3898,yes. i still can't believe our city council allowed this building.,they're probably getting something under the table.
3899,that was a huge fire in santa barbara.,"yes, it was."
3900,"yes, it was.",they said about 30 houses burned to the ground.
3901,they said about 30 houses burned to the ground.,and they were expensive houses.
3902,and they were expensive houses.,i feel so sorry for those people.
3903,i feel so sorry for those people.,why feel sorry for rich people?
3904,why feel sorry for rich people?,i feel sorry for anyone who loses their home.
3905,i feel sorry for anyone who loses their home.,"so do i, but not if they're rich."
3906,"so do i, but not if they're rich.",what does that have to do with it?
3907,what does that have to do with it?,rich people think they're better than us.
3908,rich people think they're better than us.,how many rich people do you know?
3909,how many rich people do you know?,none.
3910,bears are invading our neighborhoods.,of course they are. they're starving to death.
3911,of course they are. they're starving to death.,they should stay in the woods where they belong.
3912,they should stay in the woods where they belong.,there's no food in the woods.
3913,there's no food in the woods.,can't they eat grass?
3914,can't they eat grass?,do you think a bear is a cow?
3915,do you think a bear is a cow?,"well, i've seen them eating berries."
3916,"well, i've seen them eating berries.",berries aren't in season all year round.
3917,berries aren't in season all year round.,it's too dangerous for kids and pets.
3918,it's too dangerous for kids and pets.,people need to cover their trash cans.
3919,people need to cover their trash cans.,the police need to shoot all the bears.
3920,the police need to shoot all the bears.,you don't solve a problem by shooting it.
3921,who did you vote for?,i voted for obama.
3922,i voted for obama.,me too.
3923,me too.,he will be a great president.
3924,he will be a great president.,everyone likes him.
3925,everyone likes him.,he's a good speaker.
3926,he's a good speaker.,and he's really smart.
3927,and he's really smart.,he will solve our problems.
3928,he will solve our problems.,he will end the war.
3929,he will end the war.,the next four years will be good years.
3930,the next four years will be good years.,"i'll vote for him next time, too."
3931,"i'll vote for him next time, too.",i think everyone will.
3932,the election is next week.,who are you voting for?
3933,who are you voting for?,i'm not voting for the mayor.
3934,i'm not voting for the mayor.,why not?
3935,why not?,he made promises that he didn't keep.
3936,he made promises that he didn't keep.,like what?
3937,like what?,"he promised to hire 1,000 more police officers."
3938,"he promised to hire 1,000 more police officers.",how many did he hire?
3939,how many did he hire?,one hundred!
3940,one hundred!,maybe he had a good reason.
3941,maybe he had a good reason.,maybe he's just a liar.
3942,maybe he's just a liar.,"maybe i'll vote for someone else, too."
3943,i can't believe he won the election.,only 15 percent of the voters turned out.
3944,only 15 percent of the voters turned out.,that is a joke.
3945,that is a joke.,"voting is so important, but people don't bother."
3946,"voting is so important, but people don't bother.",many people think their vote doesn't matter.
3947,many people think their vote doesn't matter.,"the mayor won by only 2,000 votes."
3948,"the mayor won by only 2,000 votes.",we're stuck with him for four more years.
3949,we're stuck with him for four more years.,voting is so easy. you can even mail your ballot in.
3950,voting is so easy. you can even mail your ballot in.,all you have to do is vote and put a stamp on it.
3951,all you have to do is vote and put a stamp on it.,how easy is that?
3952,how easy is that?,i guess people just don't care.
3953,i guess people just don't care.,they'll care when they see their taxes go up.
3954,"well, we have a new president.",but we have the same old problems.
3955,but we have the same old problems.,"well, he's made a few changes."
3956,"well, he's made a few changes.",like what?
3957,like what?,i think he closed the bowling alley in the white house.
3958,i think he closed the bowling alley in the white house.,"oh, yeah. he's changing it to a basketball court."
3959,"oh, yeah. he's changing it to a basketball court.",who's paying for that?
3960,who's paying for that?,i think we are!
3961,i think we are!,"well, that's okay, as long as it helps him relax and think more clearly."
3962,"well, that's okay, as long as it helps him relax and think more clearly.","yes, we need a relaxed president who thinks clearly."
3963,"yes, we need a relaxed president who thinks clearly.",do any other world leaders have a basketball court?
3964,do any other world leaders have a basketball court?,they will. you know america always leads the way.
3965,people say that everybody loves obama.,"well, more than 50 million people voted for mccain."
3966,"well, more than 50 million people voted for mccain.",that's 50 million people who don't love obama.
3967,that's 50 million people who don't love obama.,obama's got four years to make everyone happy.
3968,obama's got four years to make everyone happy.,he's never going to make everyone happy.
3969,he's never going to make everyone happy.,can you imagine being president?
3970,can you imagine being president?,everyone wants you to solve their problems.
3971,everyone wants you to solve their problems.,i have enough stress from trying to solve my own problems.
3972,i have enough stress from trying to solve my own problems.,you and everybody else.
3973,you and everybody else.,i would never want to be president.
3974,i would never want to be president.,but think about all the power you'd have.
3975,but think about all the power you'd have.,i prefer my quiet little life to all the power in the world.
3976,did you read this article?,what article?
3977,what article?,it says the mayor spends only 11 percent of his time on city duties.
3978,it says the mayor spends only 11 percent of his time on city duties.,only 11 percent?
3979,only 11 percent?,about 50 percent of the time he's traveling.
3980,about 50 percent of the time he's traveling.,where does he travel to?
3981,where does he travel to?,"oh, all over the world."
3982,"oh, all over the world.",but he's supposed to be making our city a better place.
3983,but he's supposed to be making our city a better place.,he's visiting other cities to get ideas.
3984,he's visiting other cities to get ideas.,can't he just go online?
3985,can't he just go online?,the rest of the time he's raising money for his reelection.
3986,the rest of the time he's raising money for his reelection.,"well, he'll never get reelected once this news gets out."
3987,who did you vote for for president?,i voted for ralph nader.
3988,i voted for ralph nader.,who in the world is ralph nader?
3989,who in the world is ralph nader?,he's the best man for president.
3990,he's the best man for president.,why's that?
3991,why's that?,he hates corporations.
3992,he hates corporations.,"well, most corporations do think only about money."
3993,"well, most corporations do think only about money.",he hates democrats and republicans.
3994,he hates democrats and republicans.,"well, they do put their party before their country."
3995,"well, they do put their party before their country.",he's the only candidate that i trust.
3996,he's the only candidate that i trust.,but he didn't have a chance. nobody voted for him!
3997,but he didn't have a chance. nobody voted for him!,"sooner or later, voters will wake up."
3998,i don't know why i bother to vote.,why's that?
3999,why's that?,what good does it do?
4000,what good does it do?,you get to put someone in power that you like.
4001,you get to put someone in power that you like.,only if my candidate wins.
4002,only if my candidate wins.,"well, he can't win unless you and others vote for him."
4003,"well, he can't win unless you and others vote for him.","but even if my candidate wins, he'll break his promises."
4004,"but even if my candidate wins, he'll break his promises.",that's true. they promise anything just so they get elected.
4005,that's true. they promise anything just so they get elected.,"and when elected, they go their own way."
4006,"and when elected, they go their own way.",they forget who put them in power.
4007,they forget who put them in power.,they forget where they came from.
4008,they forget where they came from.,maybe you should run for office.
4009,that election for u.s. senator stunk.,what do you mean?
4010,what do you mean?,there were more votes than voters!
4011,there were more votes than voters!,but that's impossible.
4012,but that's impossible.,officials said that it's possible.
4013,officials said that it's possible.,did they explain how it's possible?
4014,did they explain how it's possible?,no. they said there are some things you can't explain.
4015,no. they said there are some things you can't explain.,so are they going to hold another election?
4016,so are they going to hold another election?,no. that will cost too much money.
4017,no. that will cost too much money.,so it's better to save money than to have an honest election?
4018,so it's better to save money than to have an honest election?,"well, the democratic party says it was an honest election."
4019,"well, the democratic party says it was an honest election.",of course they say thatÂ—their man won!
4020,i see that former president bush is at a conference.,yes. he's telling jokes about his eight years as president.
4021,yes. he's telling jokes about his eight years as president.,"yes, those eight years were a lot of fun for everyone."
4022,"yes, those eight years were a lot of fun for everyone.","only 4,000 american soldiers were killed overseas."
4023,"only 4,000 american soldiers were killed overseas.","not to mention 40,000 wounded soldiers."
4024,"not to mention 40,000 wounded soldiers.",but bush visited some of them in the hospital once.
4025,but bush visited some of them in the hospital once.,that's nice that he found the time to make a visit.
4026,that's nice that he found the time to make a visit.,he spoke to them and made them feel better.
4027,he spoke to them and made them feel better.,did he speak to every family that lost a soldier?
4028,did he speak to every family that lost a soldier?,"no, he didn't have time to do that."
4029,"no, he didn't have time to do that.","well, he's got plenty of time now!"
4030,"well, he's got plenty of time now!","no, he's too busy writing a book about how hard it was to be president."
4031,did you get your official sample ballot?,"yes, with the voter instructions."
4032,"yes, with the voter instructions.",how are you going to vote?
4033,how are you going to vote?,"same as ever, by mail. all it costs me is a 42-cent stamp."
4034,"same as ever, by mail. all it costs me is a 42-cent stamp.","i meant, are you going to vote for or against the new taxes?"
4035,"i meant, are you going to vote for or against the new taxes?","against all of them, of course."
4036,"against all of them, of course.","but we need new taxes to pay for highways, schools, and prisons."
4037,"but we need new taxes to pay for highways, schools, and prisons.",we've already voted for new taxes to pay for all that stuff!
4038,we've already voted for new taxes to pay for all that stuff!,that's true. where did that money go?
4039,that's true. where did that money go?,our legislators spent it on first-class travel all over the world.
4040,our legislators spent it on first-class travel all over the world.,they are having a good time with our money.
4041,they are having a good time with our money.,so when are we going to stop giving them more?
4042,have you decided how you are going to vote?,"do you mean on measures 1, 2, and 3?"
4043,"do you mean on measures 1, 2, and 3?","yes. the ones that will improve our schools, roads, and hospitals."
4044,"yes. the ones that will improve our schools, roads, and hospitals.",you mean the measures that will raise our taxes.
4045,you mean the measures that will raise our taxes.,but the tv ads say that our taxes will not increase.
4046,but the tv ads say that our taxes will not increase.,do you believe the tv ads?
4047,do you believe the tv ads?,i like the one where the fireman tells us why we should vote yes.
4048,i like the one where the fireman tells us why we should vote yes.,"don't believe him! whatever the tv ads tell you, the opposite is true."
4049,"don't believe him! whatever the tv ads tell you, the opposite is true.","but the title of measure 1 is ""better schools at no cost."""
4050,"but the title of measure 1 is ""better schools at no cost.""","the title should be ""better schools at huge cost."""
4051,"the title should be ""better schools at huge cost.""",i can't believe that they would lie to us.
4052,i can't believe that they would lie to us.,of course they lieÂ—that's what politicians do!
4053,i have a stomachache.,is it something you ate?
4054,is it something you ate?,maybe. i'm not sure.
4055,maybe. i'm not sure.,what did you have for breakfast?
4056,what did you have for breakfast?,"the usual, cereal with milk and a banana."
4057,"the usual, cereal with milk and a banana.",maybe the milk was bad.
4058,maybe the milk was bad.,it didn't smell bad.
4059,it didn't smell bad.,maybe the banana was bad.
4060,maybe the banana was bad.,"no, the banana was delicious."
4061,"no, the banana was delicious.",maybe you just need to go to the bathroom.
4062,maybe you just need to go to the bathroom.,"no, that's not the problem."
4063,"no, that's not the problem.",maybe it will go away in a little while.
4064,what's this stain?,i don't know.
4065,i don't know.,it looks like blood.
4066,it looks like blood.,i think my nose was bleeding.
4067,i think my nose was bleeding.,you should wet your shirt immediately.
4068,you should wet your shirt immediately.,why?
4069,why?,because that gets the blood out of the shirt.
4070,because that gets the blood out of the shirt.,what's a little blood?
4071,what's a little blood?,your white shirt is ruined.
4072,your white shirt is ruined.,"so, i'll just buy another one."
4073,"so, i'll just buy another one.",you can wear this one around the house.
4074,you can wear this one around the house.,next time i'll soak it immediately.
4075,my fingers hurt.,why do they hurt?
4076,why do they hurt?,i type too much.
4077,i type too much.,you should take a break.
4078,you should take a break.,i need to type to make money.
4079,i need to type to make money.,but typing is causing you pain.
4080,but typing is causing you pain.,maybe i should see a doctor.
4081,maybe i should see a doctor.,doctors are too expensive.
4082,doctors are too expensive.,he might tell me to rest for a while.
4083,he might tell me to rest for a while.,he might want to cut you open.
4084,he might want to cut you open.,he might say i'm okay.
4085,he might say i'm okay.,he might say you have bone cancer.
4086,what did the doctor say?,he thinks i have too much stress.
4087,he thinks i have too much stress.,stress causes your stomachaches?
4088,stress causes your stomachaches?,stress causes different problems with different people.
4089,stress causes different problems with different people.,so what did he tell you to do?
4090,so what did he tell you to do?,he said i need to think positive.
4091,he said i need to think positive.,he didn't give you any medication?
4092,he didn't give you any medication?,i hate medication. it makes me feel different.
4093,i hate medication. it makes me feel different.,so how do you think positive?
4094,so how do you think positive?,i think about nice things.
4095,i think about nice things.,like what?
4096,like what?,"like a day at the beach, with my toes in the sand."
4097,i cut my finger.,how did you do that?
4098,how did you do that?,it's a paper cut.
4099,it's a paper cut.,paper can be dangerous.
4100,paper can be dangerous.,"it hurts, too."
4101,"it hurts, too.",paper cuts can hurt a lot.
4102,paper cuts can hurt a lot.,where are the band-aids?
4103,where are the band-aids?,i think they're in the medicine cabinet.
4104,i think they're in the medicine cabinet.,it's on the tip of my finger.
4105,it's on the tip of my finger.,a band-aid might not work.
4106,a band-aid might not work.,i must not use this finger until the cut heals.
4107,i must not use this finger until the cut heals.,it might take a day or two to heal.
4108,do you smell that?,"oh, yes."
4109,"oh, yes.",i can't stand cigarette smoke.
4110,i can't stand cigarette smoke.,it smells so bad.
4111,it smells so bad.,one cigarette stinks up the whole sidewalk.
4112,one cigarette stinks up the whole sidewalk.,smokers think they are so cool.
4113,smokers think they are so cool.,they are so weak.
4114,they are so weak.,a little cigarette controls them.
4115,a little cigarette controls them.,they look so stupid taking a puff.
4116,they look so stupid taking a puff.,and then they blow smoke out of their mouth.
4117,and then they blow smoke out of their mouth.,they think it's cool.
4118,they think it's cool.,cigarettes stink.
4119,do you have a cold?,"yes, i do."
4120,"yes, i do.",how did you get it?
4121,how did you get it?,my sister had a cold. she gave it to me.
4122,my sister had a cold. she gave it to me.,have you taken anything for your cold?
4123,have you taken anything for your cold?,"no, i just blow my nose a lot."
4124,"no, i just blow my nose a lot.",your nose is stopped up?
4125,your nose is stopped up?,yes. i have to breathe through my mouth.
4126,yes. i have to breathe through my mouth.,have you tried nose drops?
4127,have you tried nose drops?,"no, i don't like nose drops."
4128,"no, i don't like nose drops.",they work great.
4129,they work great.,i don't care. i don't like to put drops in my nose.
4130,"would you put suntan lotion on my back, please?",sure.
4131,sure.,thank you.
4132,thank you.,you shouldn't lie in the sun for too long.
4133,you shouldn't lie in the sun for too long.,i want to get a tan. i don't want to look so pale.
4134,i want to get a tan. i don't want to look so pale.,what's wrong with looking pale?
4135,what's wrong with looking pale?,people think you might be sick.
4136,people think you might be sick.,who thinks that?
4137,who thinks that?,i don't know.
4138,i don't know.,it's better to be pale than to have skin cancer.
4139,it's better to be pale than to have skin cancer.,i know that.
4140,i know that.,so why are you arguing with me? don't lie in the sun too long!
4141,i can't quit smoking.,of course you can.
4142,of course you can.,i don't have enough will power.
4143,i don't have enough will power.,of course you do.
4144,of course you do.,i wish i had never started.
4145,i wish i had never started.,so does every smoker.
4146,so does every smoker.,i've tried to quit so many times.
4147,i've tried to quit so many times.,so has everyone else.
4148,so has everyone else.,nothing seems to work.
4149,nothing seems to work.,"all it takes is will power, and you have it."
4150,"all it takes is will power, and you have it.",then why can't i quit?
4151,then why can't i quit?,you have to believe in yourself.
4152,my back is killing me.,what did you do?
4153,what did you do?,i got out of my car.
4154,i got out of my car.,that's it?
4155,that's it?,i injured my back one time just by sneezing.
4156,i injured my back one time just by sneezing.,you should see a doctor.
4157,you should see a doctor.,my doctor said i need surgery.
4158,my doctor said i need surgery.,so?
4159,so?,"so, forget it."
4160,"so, forget it.",you don't have the money?
4161,you don't have the money?,i have no insurance.
4162,i have no insurance.,maybe a back rub would help.
4163,my brother smokes three packs a day.,three packs of what?
4164,three packs of what?,"cigarettes, of course."
4165,"cigarettes, of course.",how can he do that?
4166,how can he do that?,"when he is almost finished with one cigarette, he uses it to light another."
4167,"when he is almost finished with one cigarette, he uses it to light another.",he's a chain smoker.
4168,he's a chain smoker.,he's been a chain smoker for 30 years.
4169,he's been a chain smoker for 30 years.,that's unbelievable. can he still breathe?
4170,that's unbelievable. can he still breathe?,"he can, but the people around him can't."
4171,"he can, but the people around him can't.",how can he still be alive?
4172,how can he still be alive?,his doctor says his heart and lungs are strong and healthy.
4173,his doctor says his heart and lungs are strong and healthy.,maybe i should start smoking.
4174,i hate brushing my teeth.,it's such a chore.
4175,it's such a chore.,"brush, brush. spit, spit."
4176,"brush, brush. spit, spit.",what did they do in the old days?
4177,what did they do in the old days?,they brushed with their fingers.
4178,they brushed with their fingers.,they also ate with their fingers!
4179,they also ate with their fingers!,why do they call it the good old days?
4180,why do they call it the good old days?,maybe because they didn't have to brush and floss.
4181,maybe because they didn't have to brush and floss.,who invented flossing?
4182,who invented flossing?,"a dentist, i'm sure."
4183,"a dentist, i'm sure.",i hate flossing more than brushing!
4184,i hate flossing more than brushing!,i can't wait till all my teeth fall out.
4185,let's stop for a while. i need a break and some water.,this trail is hard to climb.
4186,this trail is hard to climb.,especially on a hot day like this.
4187,especially on a hot day like this.,i can't believe we haven't seen any animals.
4188,i can't believe we haven't seen any animals.,thank goodness! i don't want to see any wild animals.
4189,thank goodness! i don't want to see any wild animals.,all we've seen so far is a couple of lizards.
4190,all we've seen so far is a couple of lizards.,"we're hiking to lose weight, not to see goats and bears."
4191,"we're hiking to lose weight, not to see goats and bears.",i bet i've lost a couple of pounds already.
4192,i bet i've lost a couple of pounds already.,all you've lost is some sweat.
4193,all you've lost is some sweat.,i haven't even lost one pound of fat?
4194,i haven't even lost one pound of fat?,"if you want to lose fat, you've got to do this hike every day."
4195,"if you want to lose fat, you've got to do this hike every day.","okay, but let's hike in town. at least there are cats and dogs to see."
4196,"oh no, another pimple on my face.",pimples suck.
4197,pimples suck.,it seems like i get a new pimple almost every day.
4198,it seems like i get a new pimple almost every day.,maybe it's something in your diet.
4199,maybe it's something in your diet.,"no, i eat the same things day after day."
4200,"no, i eat the same things day after day.",then maybe it's in your genes.
4201,then maybe it's in your genes.,you might be right.
4202,you might be right.,do pimples run in your family?
4203,do pimples run in your family?,not that i've noticed.
4204,not that i've noticed.,"well, maybe it's from the pollution in the air."
4205,"well, maybe it's from the pollution in the air.","whatever the cause, i hate seeing them on my face."
4206,"whatever the cause, i hate seeing them on my face.","well, on the bright side, they're fun to pop."
4207,do you believe everything you hear?,i don't believe anything i don't see with my own eyes.
4208,i don't believe anything i don't see with my own eyes.,you can't believe what you hear on tv or radio.
4209,you can't believe what you hear on tv or radio.,you can't believe what you read in the newspapers.
4210,you can't believe what you read in the newspapers.,everyone tells you a different story about the same thing.
4211,everyone tells you a different story about the same thing.,three different people will give you three different stories.
4212,three different people will give you three different stories.,and the government will give you a fourth story.
4213,and the government will give you a fourth story.,"yes, like the government says not to worry about the swine flu."
4214,"yes, like the government says not to worry about the swine flu.",but the swine flu just killed 20 people in mexico.
4215,but the swine flu just killed 20 people in mexico.,the government says we have nothing to worry about.
4216,the government says we have nothing to worry about.,then why are some schools telling the kids to stay home?
4217,then why are some schools telling the kids to stay home?,"the government says to wash our hands frequently, and we'll all be okay."
4218,don't pick your nose.,i wasn't picking my nose.
4219,i wasn't picking my nose.,what were you doing?
4220,what were you doing?,i was scratching my nose.
4221,i was scratching my nose.,i think i know the difference between picking and scratching.
4222,i think i know the difference between picking and scratching.,"okay, mom, maybe i was picking it a little bit."
4223,"okay, mom, maybe i was picking it a little bit.",use a tissue next time.
4224,use a tissue next time.,i didn't have a tissue.
4225,i didn't have a tissue.,then wait till you find a tissue.
4226,then wait till you find a tissue.,i couldn't wait. it was an emergency.
4227,i couldn't wait. it was an emergency.,"oh, really? maybe you should have called 911."
4228,"oh, really? maybe you should have called 911.",it wasn't that kind of emergency.
4229,our tv remote is filthy.,"yes, it's covered with crud."
4230,"yes, it's covered with crud.",i'm going to clean it.
4231,i'm going to clean it.,don't use water on it!
4232,don't use water on it!,i'll use a damp cloth.
4233,i'll use a damp cloth.,don't let water get into any of the cracks.
4234,don't let water get into any of the cracks.,i'll squeeze the cloth so it's almost dry.
4235,i'll squeeze the cloth so it's almost dry.,don't rub the numbers off the remote.
4236,don't rub the numbers off the remote.,i will rub gently but firmly.
4237,i will rub gently but firmly.,"do it quickly, please, so i can change channels during commercials."
4238,"do it quickly, please, so i can change channels during commercials.",i'll give it back to you in a couple of minutes.
