question,answers
game tonight,yes it starts at 7 pm
yes starts 7 pm,can we get tickets
get tickets,yes but only the cheap tickets
yes cheap tickets,how much are they
much,theyre only $5 each
theyre $5,thats a good price
thats good price,yes its cheaper than a hot dog or a beer
yes cheaper hot dog beer,where are the seats
seats,theyre behind the outfield
theyre behind outfield,maybe we can catch a home run ball
golf hard,whats so hard about hitting a little white ball
whats hard hitting little white ball,its hard if you want to do it right
hard want right,you mean like tiger
mean like tiger,no like a good amateur golfer
like good amateur golfer,whats so hard about golf
whats hard golf,there are so many things you have to do right
many things right,like what
like,like keep your left arm straight keep your head down and follow through
like keep left arm straight keep head follow,yikes who can remember all that
yikes remember,you need to get a lot of lessons when youre really young
need get lot lessons youre really young,forget it golf sounds more like work than fun
hear ball player,the home run hitter on drugs
home run hitter drugs,he said a doctor helped him with a personal problem
said doctor helped personal problem,he said he wasnt using drugs
said wasnt using drugs,he apologized to the fans
apologized fans,the league suspended him for 50 games
league suspended 50 games,that will cost him some money
cost money,yes about $7 million
yes $7 million,that will teach him a good lesson
teach good lesson,he probably wont use drugs anymore
probably wont use drugs anymore,but it wont stop other players from using drugs
wont stop players using drugs,no everyone always figures that they wont get caught
much crime,because parents do not teach their kids right from wrong
parents dont teach kids right wrong,is that it
also arent enough police,but there are a lot of police
lot police,theres only one police officer per 100 criminals
theres one police officer per 100 criminals,can not we hire more police
hire police,no it costs too much money
costs much money,doesnt crime cost more than police
doesnt crime cost police,yes it does
yes,so it would be cheaper to hire more police
would cheaper hire police,yes it would
great neighborhood,yes it is
yes,people are friendly
people friendly,yes they are
yes,the streets and sidewalks are clean
streets sidewalks clean,yes they are
yes,theres a real nice park nearby
theres real nice park nearby,yes there is
yes,i feel safe here
feel safe,there is no crime here
crime,i wish i could move here
wish could move,maybe you can if someone moves out
house burned,what happened
happened,the man fell asleep
man fell asleep,was he smoking
smoking,yes he was smoking a cigarette
yes smoking cigarette,did he die
die,yes he did his cat died too
yes cat died,thats too bad what about his smoke alarm
thats bad smoke alarm,the battery was dead
battery dead,a good battery would have saved his life
good battery would saved life,he had cigarettes but no battery
cigarettes battery,it happens all the time
say started fifteen big fires,he is been in jail three times already
jail three times already,why did they ever let him out
ever let,its the law they can not keep him in jail forever
law keep jail forever,why not everyone knows he is a firebug he loves to start fires
everyone knows firebug loves start fires,i do not know sometimes the law doesnt make sense
dont know sometimes law doesnt make sense,but his latest fire killed someone
latest fire killed someone,this time they have charged him with murder
time charged murder,so maybe hell go to jail forever
maybe hell go jail forever,i sure hope so
sure hope,someone should set him on fire
someone set fire,that would teach him a good lesson
put seatbelt,why
protect case accident,but its uncomfortable
uncomfortable,its the law
law,its so much trouble
much trouble,its common sense
common sense,its so tight that its hard for me to breathe
tight hard breathe,hold your breath till we get there
hold breath till get,okay my seatbelt is on
okay seatbelt,i am glad you do not complain very much
glad dont complain much,i am ready for an accident
going change light bulb burnt,what are you standing on
standing,a couple of dictionaries and some textbooks
couple dictionaries textbooks,are you crazy
crazy,whats the matter
whats matter,those books will slip and youll fall
books slip youll fall,its only a couple of feet
couple feet,what if you fall while youre holding the light bulb and it breaks and pieces go into your eyes
fall youre holding light bulb breaks pieces go eyes,i never thought about that
never thought,youd be blind for the rest of your life
youd blind rest life,i will get the stepladder
see puddle water floor,yes i called for a cleanup
yes called cleanup,a puddle of water is very dangerous
puddle water dangerous,it is not easy to see
easy see,but its real easy to slip on
real easy slip,especially on these slick floors
especially slick floors,someone who slips could hurt their back
someone slips could hurt back,they could even crack their head open
could even crack head open,we should stand here till the cleanup person gets here
stand till cleanup person gets,we can leave if we put an orange cone here
leave put orange cone,yes but i do not know where the orange cones are
yes dont know orange cones,it doesnt matter here he comes now with the mop
happens fire alarm rings,we tell our students to leave the classroom
tell students leave classroom,can they take their belongings
take belongings,yes if they do it quickly
yes quickly,where do the students go
students go,they go out to the north parking lot
go north parking lot,what do the teachers do
teachers,we take our rosters to the parking lot and take roll
take rosters parking lot take roll,why do you do that
want make sure students building,if they are all outside then what
outside,then we just wait outside for a fireman to tell us to go back in
go back upstairs,why were already late
already late,i have to check the stove
check stove,whats the matter
whats matter,maybe i left the burner on
maybe left burner,no you didnt i checked the stove before we left
didnt checked stove left,are you sure
sure,of course i am sure
course sure,well i have to go back upstairs anyway
well go back upstairs anyway,its getting later every minute
getting later every minute,i think i left the water running
think left water running,no you didnt lets go the only thing running is the clock
city buying guns,what are they paying
paying,up to $200 for each gun no questions asked
$200 gun questions asked,why are they doing this
want get guns street,who would turn in a gun for $200
would turn gun $200,that is not a good deal
good deal,a good gun costs $400 or more
good gun costs $400,well if you bring your receipt maybe theyll give you $400
well bring receipt maybe theyll give $400,i will keep my receipt and my gun
keep receipt gun,i didnt know you had a gun
didnt know gun,everyone in america should have a gun
youre yawning,i sure am
sure,you should go to bed
go bed,i will as soon as i finish this article
soon finish article,what are you reading
reading,its about crime in los angeles
crime los angeles,what does it say
say,the mayor says the crime rate is going down
mayor says crime rate going,then why does everyone lock their doors
everyone lock doors,i guess they havent read this article
guess havent read article,no one believes that the crime rate is going down
one believes crime rate going,maybe the mayor is just talking about his own neighborhood
people live california crazy,why is that
earthquakes fires,but big earthquakes happen only once in a while
big earthquakes happen,once in a while is once too many
many,but youre right there are a lot of fires
youre right lot fires,a recent fire destroyed 85 homes
recent fire destroyed 85 homes,still its safer than florida
still safer florida,florida doesnt have earthquakes or fires
florida doesnt earthquakes fires,no florida just has hurricanes every year from june to october
florida hurricanes every year june october,but most of those hurricanes are harmless
hurricanes harmless,excuse me hurricane andrew destroyed 30000 homes
went hawaii vacation,did you like it
like,i loved it i want to live there
loved want live,what did you like
like,the island is so green and the water is so blue
island green water blue,did you go swimming
go swimming,i went to the beach every day
went beach every day,how was the weather
weather,it was hot and sunny every day
hot sunny every day,what did you do at night
night,at night i went out to eat the food was delicious
night went eat food delicious,people who live in hawaii are lucky
like hotel,what do you like about it
like,we get a free breakfast
get free breakfast,coffee and a roll
coffee roll,no a real breakfast
real breakfast,bacon and eggs
bacon eggs,with toast ham sausage fresh fruit and juice
toast ham sausage fresh fruit juice,wow that is nice lets stay for two nights
wow nice lets stay two nights,and the rooms are clean too
rooms clean,do they allow pets
allow pets,no pets no smoking
pets smoking,i like that lets stay three nights
sleeping tonight,whats the matter this is a nice room
whats matter nice room,maybe the room is nice but not the bed
maybe room nice bed,whats wrong with the bed
whats wrong bed,look at this sheet
look sheet,yes
yes,see those stains
see stains,i sure do
sure,i am not sleeping on that sheet
sleeping sheet,well just call the front desk theyll give us new sheets
well call front desk theyll give us new sheets,i want sheets without stains on them
want sheets without stains,from now on lets bring our own sheets
time plane leave,it leaves at 1215
leaves 1215,when do you have to be at the airport
airport,i have to be there two hours early
two hours early,so we have to be at the airport at 1015
airport 1015,that means we have to leave the house at 915
means leave house 915,well its an hour to get there if there are no traffic problems
well hour get traffic problems,so maybe we better leave at 815
maybe better leave 815,yes its better to get there too early than too late
yes better get early late,i agree
agree,you never know what might happen on these freeways
never know might happen freeways,theres at least one huge accident every day
need fly new york,when are you going
going,during the christmas holidays
christmas holidays,youd better buy your ticket now
youd better buy ticket,you must be kidding
must kidding,no i am not its march time is running out seats are selling out right now
march time running seats selling right,i thought i would wait until october
thought would wait october,i will bet this is the first time youve ever flown during christmas
bet first time youve ever flown christmas,youre right
youre right,well listen to me you need to buy a ticket now
well listen need buy ticket,but maybe prices will be cheaper in october
maybe prices cheaper october,cheaper prices wont do you any good if there are no seats
hate flying,so do i
long time ago flying used okay,now its like riding a bus
like riding bus,youre jammed in with people all around you
youre jammed people around,half of them are coughing and the other half are sneezing
half coughing half sneezing,you do not have any elbow room or knee room
dont elbow room knee room,people are always getting up to use the bathroom
people always getting use bathroom,kids are crying or climbing over you
kids crying climbing,its a flying zoo
flying zoo,i wish i could afford first class seats
wish could afford first class seats,doesnt everybody
guy rowed across atlantic ocean,good for him
good,why would he do that
would,did he set a new record
set new record,yes i think he did
yes think,well i guess thats why he did it
well guess thats,whats the point
whats point,now he has the world record
world record,but someones going to break it so what good is it
someones going break good,well he can enjoy it while it lasts
well enjoy lasts,i do not think he even got paid for it
dont think even got paid,some people do it just to do it
want go cruise ship,that sounds like fun where do you want to go
sounds like fun want go,i want to cruise to hawaii
want cruise hawaii,that should be a nice trip lots of fun and lots of food
nice trip lots fun lots food,i have no idea how much it will cost
idea much cost,i think it depends on the season and on your cabin
think depends season cabin,well of course i want to go when the weather is nice
well course want go weather nice,yes you do not want to travel in winter storms
yes dont want travel winter storms,and i want to get a big cabin with a view
want get big cabin view,are you going to travel alone
going travel alone,no my sister and i will travel together
sister travel together,well you should go online and try to find a good deal
hate fly,because of all the security
security,no because it hurts my ears
hurts ears,what do you mean
mean,every time we land or take off my ears hurt so much
every time land take ears hurt much,thats just the altitude change i think
thats altitude change think,whatever it is it hurts
whatever hurts,can not you take medicine or something for it
take medicine something,i have tried everything but nothing works
tried everything nothing works,have you tried earplugs
tried earplugs,they do not work either
dont work either,well be glad youre not a pilot
spring break starts tomorrow,are you going to go anywhere
going go anywhere,i was thinking of driving to arizona
thinking driving arizona,to the grand canyon
grand canyon,yes i have never been there
yes never,i was there when i was a kid
kid,how did you like it
like,i loved it i still remember how amazing it was
loved still remember amazing,i am sure i will like it too
sure like,you should try riding a mule on a trail to the bottom
try riding mule trail bottom,no way i do not want to fall to my death
way dont want fall death,do not worry only one person has ever fallen off a mule
hotel terrible,the worst in the whole world
worst whole world,the walls were so thin
walls thin,all day long we heard tvs or telephones
day long heard tvs telephones,all night long we heard people snoring
night long heard people snoring,housekeeping didnt give us fresh towels
housekeeping didnt give us fresh towels,room service brought us a cold dinner
room service brought us cold dinner,our nonsmoking room stunk of cigarette smoke
nonsmoking room stunk cigarette smoke,our room was right next to the elevator and the ice machine
room right next elevator ice machine,they added phony charges to our bill
added phony charges bill,how did we end up in that terrible hotel
end terrible hotel,the travel agent gave us a 50percent discount
hang sleepy,its not even 10 oclock
even 10 oclock,i am falling asleep on the phone
falling asleep phone,you got up real early
got real early,i had to take my friend to the airport
take friend airport,why didnt you take a nap when you got home
didnt take nap got home,i didnt get home until 30 minutes ago
didnt get home 30 minutes ago,why is that
bomb threat airport,only a threat
threat,yes but i was stuck there all day while they looked for the bomb
yes stuck day looked bomb,someday the bomb is going to be for real
dad went washington dc,why did he do that
invited along 90 veterans,who invited them
invited,some private organization
private organization,why did they invite him
invite,to thank him and all the other soldiers who served in world war 2
thank soldiers served world war 2,thats very nice
thats nice,my dad got to see the beautiful new world war 2 monument
dad got see beautiful new world war 2 monument,that trip must have cost a lot of money
trip must cost lot money,he said all the money came from private donations
great trip washington dc,tell me about it dad
tell dad,about 90 of us world war 2 veterans got on the plane at 8 am
90 us world war 2 veterans got plane 8,how long was the flight
long flight,it only took about two hours
took two hours,did you take pictures at the world war 2 monument
take pictures world war 2 monument,oh yes we all took lots of pictures
oh yes took lots pictures,then you flew back home that evening
flew back home evening,yes when we landed tv reporters and the army band were there
yes landed tv reporters army band,that must have made you feel really special
must made feel really special,oh it did there were about 300 people there to honor us
oh 300 people honor us,well you all deserve it you helped save our country
need job,i thought you had a job
thought job,i did
happened,i got laid off
got laid,thats terrible when did it happen
thats terrible happen,i got laid off last week
got laid last week,just you
ten coworkers got laid,what are you going to do
going,i am looking in the newspaper for a job
looking newspaper job,good luck
go interview check,whats to check
whats check,are your nails clean
nails clean,yes they are
yes,did you doublecheck your nose and teeth
doublecheck nose teeth,they are clean too
clean,did you shine your shoes
shine shoes,my shoes are shined
shoes shined,do your socks match
socks match,of course they match
course match,no they do not one is black and one is dark blue
dont one black one dark blue,yikes thank you
life hard,it sure is
sure,i thought school was hard
thought school hard,me too i couldnt wait to graduate
couldnt wait graduate,but now work is hard too
work hard,i agree work is just as hard as school
agree work hard school,sometimes i wish i was back in school
sometimes wish back school,me too school was fun
school fun,and it was only 12 years
12 years,it went by pretty fast
went pretty fast,but work goes on forever
work goes forever,we have to work for 30 years
sleepy,so am i
long day,so did i
didnt even lunch,neither did i
neither,i was busy the whole day
busy whole day,so was i
bring work home,i did too
day like mine,of course it was we work together
dont like job,what do you do
babysitter,is that a lot of work
lot work,babies cry all the time
babies cry time,you have to change their diapers
change diapers,i have to feed them
feed,are you looking for another job
looking another job,no i am looking for another family
looking another family,another family
another family,a family with only one baby
family one baby,thats a good idea
need job,what was your last job
last job,i was a painter
painter,what happened
happened,i got laid off because there was no work
got laid work,what else can you do
else,i am a handyman
handyman,can you fix a dripping faucet in a kitchen sink
fix dripping faucet kitchen sink,of course
course,then i have a job for you in my kitchen
job kitchen,it will cost you only $20 plus parts
cost $20 plus parts,okay that sounds like a fair price
would lost job,i have no idea i have been here for 20 years
idea 20 years,do you have any other skills
skills,well i know how to flip hamburgers
well know flip hamburgers,no one would hire you to flip hamburgers
one would hire flip hamburgers,have you heard something that youre not telling me
heard something youre telling,what do you mean
mean,are there going to be layoffs at this place
going layoffs place,i certainly hope not
certainly hope,if you got laid off youd be flipping hamburgers too
got laid youd flipping hamburgers,oh great we could both work at burger king
oh great could work burger king,maybe wed get laid off there too
students ever talk jobs,yes and they ask me what jobs are the best
yes ask jobs best,i tell my students to become a teacher
tell students become teacher,teaching is a great job
teaching great job,its the best job i have ever had
best job ever,what makes it so good
makes good,for me its the students
students,what do you mean
mean,i mean i have wonderful students
mean wonderful students,that must be nice
must nice,teaching is the best part of my whole day
teaching best part whole day,youre a lucky man to have a job you love
boy glad job finished,how long did it take
long take,four hours without a break
four hours without break,its always nice to finish a job
always nice finish job,well its good and bad
well good bad,whats bad about it
whats bad,when you finish all you do is start another job
finish start another job,yes thats right it does get boring
yes thats right get boring,especially if its the same work over and over
especially work,but thats what most people do
thats people,yes i guess most of us are stuck in a routine
yes guess us stuck routine,i wonder if there is any job that you do not repeat over and over
think worst boss world,what makes him so bad
makes bad,he is rude and he yells a lot
rude yells lot,thats hard to take
thats hard take,i have never heard him say please or thank you
never heard say please thank,he sounds like a real jerk
sounds like real jerk,no one at work likes him
one work likes,can not you report him to his supervisor
report supervisor,of course not if i do that i will lose my job
course lose job,yes they do not like troublemakers or complainers
yes dont like troublemakers complainers,i can not quit because i am making a good salary
quit making good salary,you shouldnt choose money over happiness
going,about what
finding job,you do not need a job i make enough money for both of us
dont need job make enough money us,that doesnt matter i do not want to sit around
doesnt matter dont want sit around,okay what kind of job do you want
okay kind job want,i am not sure
sure,well you should do something that you enjoy
well something enjoy,i enjoy selling i was born to sell
enjoy selling born sell,okay what do you want to sell
okay want sell,cigarette lighters i will make a fortune
cigarette lighters make fortune,but you hate cigarettes and you hate smoking
new hotel looking workers,yes i saw it on the tv news
yes saw tv news,they need 300 new workers
need 300 new workers,and 4000 people showed up
4000 people showed,so many people are out of work
many people work,i still have my job thank goodness
still job thank goodness,so do i but i am worried
worried,me too there are no guarantees
guarantees,if you lose your job you can move in with me
lose job move,oh thank you thats very nice of you
oh thank thats nice,you would do the same for me
would,of course what are friends for
think something real stupid,what did you do
bought stock,everybody buys stock
everybody buys stock,i bought it on a hunch
bought hunch,you didnt read about the company first
didnt read company first,i didnt have to its been in business for 60 years
didnt business 60 years,so whats the problem
whats problem,i used all my savings on this one company
used savings one company,you put all your eggs into one basket
put eggs one basket,if the company goes out of business i will have nothing
company goes business nothing,oh youll have somethingâ—youll have a lesson youll never forget
going doctor,what happened to your plans
happened plans,i got a d in college chemistry
got college chemistry,well a d is better than an f
well better f,a tutor helped me get the d
tutor helped get,so you didnt become a doctor
didnt become doctor,and now i am glad that i didnt
glad didnt,whys that
whys,a hospital is the most dangerous place in the world
hospital dangerous place world,oh yes because of all the killer germs
oh yes killer germs,if youre a smart doctor you stay away from hospitals
youre smart doctor stay away hospitals,yes the smart doctors are those tv news doctorsâ—no hospitals no patients
want mail carrier grow,why
get meet lot people,you sure do
sure,and you get a lot of exercise every day
get lot exercise every day,thats the truth
thats truth,and you get to play with a lot of dogs
get play lot dogs,well youre supposed to be working
well youre supposed working,yes but i will always pet the friendly dogs
yes always pet friendly dogs,what about the unfriendly dogs
unfriendly dogs,i think if you are friendly to dogs they are friendly to you
think friendly dogs friendly,dogs are like peopleâ—not all of them are friendly
want move new york,to the state or the city
state city,to the city of course
city course,why do you want to move there
want move,because i want to make a lot of money
want make lot money,there are a lot of poor people in new york
lot poor people new york,there sure areâ—at least a million
sure areâ—at least million,so how do you plan to become rich
plan become rich,i will knock on the doors of all the corporations
knock doors corporations,that wont make you rich nobody will talk to you
wont make rich nobody talk,i will keep knocking on doors
keep knocking doors,all you will get is sore knuckles
love salads,me too
usually eat simple salad,what do you put in it
put,just lettuce tomato and celery
lettuce tomato celery,thats it
thats,i add some pepper and salt
add pepper salt,i always put cheese in my salads
always put cheese salads,yes cheese is nice
yes cheese nice,what kind of dressing do you use
kind dressing use,i pour lots of french dressing on top
pour lots french dressing top,me too french dressing is so delicious who cares about calories
love cheese,me too
cheese come,it comes from cows
comes cows,so we get cheese from cows and we get milk too
get cheese cows get milk,yes we do
yes,what else do we get from cows
else get cows,we get hamburgers and steak
get hamburgers steak,oh thats so delicious
oh thats delicious,we also get leather
also get leather,we get a lot of things from cows do not we
get lot things cows dont,yes a cow is mans best friend
used work deli,how did you like it
like,i loved it
loved,did you get free food
get free food,i ate free cheese and meat every day
ate free cheese meat every day,that sounds like a great job
sounds like great job,whatever a customer ordered i sliced off a little more for me
whatever customer ordered sliced little,did you get fat
get fat,no but i did put on a few pounds
put pounds,that sounds like a dream job
sounds like dream job,it was until one day my manager caught me
one day manager caught,no more free cheese for you huh
new diet,what are you eating now
eating,i switched from pasta to potatoes
switched pasta potatoes,why did you do that
pasta processed food potatoes natural food,natural food has more vitamins
natural food vitamins,and its just as easy to prepare
easy prepare,how do you prepare the potatoes
prepare potatoes,i wash them and then steam them for 15 minutes
wash steam 15 minutes,thats pretty simple
thats pretty simple,then i add butter salt and pepper
add butter salt pepper,can i have all those cans of tomato sauce you bought for your pasta
girlfriends mom got mad dinner table,why was that
sprinkled salt pepper food tasted,whats the matter with that
whats matter,her mom is a great cook
mom great cook,so a little salt and pepper never hurt anything
little salt pepper never hurt anything,it hurt her feelings
hurt feelings,oh
oh,i apologized to her but i could tell she was still upset
apologized could tell still upset,maybe you shouldnt eat there again
maybe shouldnt eat,i am sure everything will be okay in a day or two
sure everything okay day two,its your girlfriends fault she should have warned you
eat thing every day,youre kidding
youre kidding,no i am serious
serious,doesnt that get old
doesnt get old,no because i am eating food that i like
eating food like,but the same thing day after day gets old
thing day day gets old,well i guess if it ever does get old i will change to something different
well guess ever get old change something different,do you eat fruits and vegetables every day
eat fruits vegetables every day,no i hate vegetables
hate vegetables,but you eat fruits
eat fruits,i eat two apples one banana and one orange every day
eat two apples one banana one orange every day,well theres nothing wrong with that
theres something wrong orange,whats wrong
whats wrong,its not orange
orange,your orange is not orange
orange orange,no its dark pink
dark pink,are you sure i never heard of such a thing
sure never heard thing,i just peeled it and i am looking at it right now
peeled looking right,let me see yes youre right your orange is pink
let see yes youre right orange pink,who ever heard of such a thing
ever heard thing,oh look heres the little sticker that was on it its called a pink navel
oh look heres little sticker called pink navel,what is this world coming to
world coming,who knows maybe soon well have pink bananas
love peanuts,me too i love them roasted and salted
love roasted salted,i love boiled peanuts
love boiled peanuts,boiled i never heard of that
boiled never heard,just boil raw peanuts in salt water until the shells are soft
boil raw peanuts salt water shells soft,i will have to try them sometime
try sometime,theyre best when theyre hot
theyre best theyre hot,my brother is allergic to peanuts
brother allergic peanuts,thats not good
thats good,no it is not he almost died when he was little
almost died little,i guess he has to be very careful about what he eats
guess careful eats,he has a very strict diet
gaining weight,how much have you gained
much gained,three pounds just this month
three pounds month,do you know why
know,i think its the ice cream
think ice cream,you started eating ice cream
started eating ice cream,it was on sale
sale,how much did you buy
much buy,i filled up my freezer with ice cream
filled freezer ice cream,well it wont last forever
well wont last forever,no i figure i will finish it all by next week
figure finish next week,then you can start losing weight if there is not another sale
stuffed,of course you are you ate everything on the table
course ate everything table,i do not like to eat leftovers
dont like eat leftovers,i am glad to hear theres something you do not like to eat
glad hear theres something dont like eat,i like my food hot and fresh
like food hot fresh,you like to see it disappear
like see disappear,i do not like it reheated
dont like reheated,well youll have hot fresh food tomorrow night
well youll hot fresh food tomorrow night,i am so full i am going to burst
full going burst,you should loosen your belt
loosen belt,i already loosened my belt and unbuttoned my pants
already loosened belt unbuttoned pants,well do not stand up please
saw,i didnt do anything
didnt anything,oh yes you did
oh yes,what are you talking about
talking,you know what i am talking about
know talking,i do not have any idea
dont idea,you know what you did
know,maybe i know but how could you know
maybe know could know,because i was watching you
watching,okay i am sorry i did it
okay sorry,do not drink milk out of the carton use a glass
dont drink milk carton use glass,i promise i will never drink out of the carton again
like shirt,so do i
much,i do not know the tag is missing
dont know tag missing,ask the clerk
ask clerk,i will
oh look heres another shirt like,does it have a price tag
price tag,yes it does its only $20
yes $20,thats a great price
thats great price,i think i will buy both of them
think buy,youd better try them on first
bought pair pants,thank you
thank,i hope they fit
hope fit,i hope you kept the receipt
hope kept receipt,you think they wont fit
think wont fit,i think i have put on some weight
think put weight,you think
think,maybe a pound or two
maybe pound two,maybe four or five pounds
maybe four five pounds,my waist is bigger than it was
waist bigger,no problem these pants have an elastic waistband
problem pants elastic waistband,you are so smart
need buy,let me look at our list
let look list,i know that we need milk
know need milk,nonfat
nonfat,of course what else
course else,we need cheese bread and ham
need cheese bread ham,what kind of cheese
kind cheese,swiss
swiss,of course the cheese with holes in it
course cheese holes,i never used to buy swiss cheese
never used buy swiss cheese,why not
need pants,i thought you just bought a pair
thought bought pair,i did
whats wrong soon,the pants are fine but the pocket has a huge hole in it
pants fine pocket huge hole,you shouldnt carry your keys and pens in your pocket
shouldnt carry keys pens pocket,but thats what pockets are for
thats pockets,you should carry them in a purse
carry purse,i am a man and men do not carry purses
man men dont carry purses,well you should buy pants with stronger pockets
well buy pants stronger pockets,i would if i could find someone who makes strong pockets
would could find someone makes strong pockets,try a google search online
wipes,you use them to wipe the handle of the shopping cart
use wipe handle shopping cart,thats a great idea
thats great idea,yes all the markets just started offering wipes to shoppers
yes markets started offering wipes shoppers,i am going to take five wipes
going take five wipes,what do you need five of them for
need five,one to wipe the handle and the others to wipe the produce
one wipe handle others wipe produce,whats the matter with the produce
whats matter produce,do you think the bananas fell from the sky
think bananas fell sky,what do you mean
mean,i mean someone used their dirty hands to pick the bananas the apples and the oranges
mean someone used dirty hands pick bananas apples oranges,well you better save a wipe for the dirty dollar bills youre going to pay with
go 99 cents store,yes i did
yes,what did you buy
buy,well i got a lot of good deals as usual
well got lot good deals usual,like what
like,well a dozen large eggs were only 99 cents
well dozen large eggs 99 cents,thats a good deal
thats good deal,and a onepound tub of soft butter was the same price
onepound tub soft butter price,another good deal
another good deal,but the best deal was five pounds of potatoes for 99 cents
best deal five pounds potatoes 99 cents,i do not know how that store makes money
dont know store makes money,neither do i but theyre doing something right
need new computer,whats the matter with yours
whats matter,its six years old
six years old,thats pretty old
thats pretty old,it still works but i am going to give it to a charity
still works going give charity,are you going to buy a desktop or laptop
going buy desktop laptop,oh a laptop of course
oh laptop course,a pc or a mac
pc mac,i havent decided yet
havent decided yet,more and more people are using macs
people using macs,but 90 percent of the world uses pcs
90 percent world uses pcs,and thats not going to change anytime soon
got ripped,what happened
happened,i had a car problem so i went online
car problem went online,did you find a solution
find solution,yes i did a site i went to said they would send me the solution
yes site went said would send solution,so whats the problem
whats problem,i sent them $20 using my credit card but they never sent me the solution
sent $20 using credit card never sent solution,what are you going to do
going,i sent them an email asking for my money back
sent email asking money back,have you heard from them
heard,not yet its been a week
yet week,well i guess thats a $20 lesson for you
wheres pencil sharpener,which one
one,any one i need to sharpen this pencil
one need sharpen pencil,i think theres one on the dining room table
think theres one dining room table,i already looked there
already looked,did you look in the desk drawer
look desk drawer,yes i looked there too
yes looked,do not we have about five sharpeners
dont five sharpeners,yes but they seem to have legs
yes seem legs,tomorrow i am going to buy an electric sharpener
tomorrow going buy electric sharpener,get one with the rubber suction cups on the bottom
get one rubber suction cups bottom,yes that way it will stay where i put it
trying stretch dollars,how are you doing that
started shopping dollar store,that saves a lot of money
saves lot money,i bought three pounds of potatoes for a dollar
bought three pounds potatoes dollar,thats a good deal
thats good deal,yes even though some of the potatoes had eyes
yes even though potatoes eyes,just put them in the fridge
put fridge,also i bought a can of cheap coffee and a bag of good coffee
also bought cheap coffee bag good coffee,why did you do that
mixed together,if the coffee still tastes okay thats a good idea
really like house,can we afford it
afford,they want 20 percent down
want 20 percent,thats a lot of money
thats lot money,but the house is so nice
house nice,its in a great neighborhood
great neighborhood,its close to the beach
close beach,its close to the freeways
close freeways,its got a big yard
got big yard,the kids love the house too
kids love house,if we do not buy it someone else will
dont buy someone else,youre right lets buy it now we can worry later
afford house,are you sure
sure,we will be house rich but cash poor
house rich cash poor,what do you mean
mean,our monthly payments will be too high
monthly payments high,we wont have any money for other things
wont money things,no we wont have money for gas or food
wont money gas food,well be eating peanut butter sandwiches
well eating peanut butter sandwiches,without the peanut butter
without peanut butter,thats no good
thats good,we have to find a cheaper house
find cheaper house,of course we can not live without gas or peanut butter
beautiful house,i do not like it
dont like,whats the matter with it
whats matter,its on the corner
corner,so
means gets twice much traffic,youre right
youre right,when youre inside you will always hear cars stopping and stopping at the intersection
youre inside always hear cars stopping stopping intersection,or youll hear the collision if someone doesnt stop
youll hear collision someone doesnt stop,or youll see the collision if they crash into the house
youll see collision crash house,lets find a house thats at the end of a dead end
lets find house thats end dead end,thats perfect the less traffic the better
hate looking apartment,me too
2 oclock appointment see one main street,wed better get ready to go
wed better get ready go,its an upstairs unit
upstairs unit,thats good because i do not want to live under people with loud feet
thats good dont want live people loud feet,and its a corner unit
corner unit,thats great we wont have neighbors on both sides of us
thats great wont neighbors sides us,no pets are allowed
pets allowed,perfect we do not have to listen to barking dogs
perfect dont listen barking dogs,and there are only six units in the whole building
six units whole building,wheres the checkbook i am ready to rent it without even seeing it
call manager,yes he said hed come over tomorrow
yes said hed come tomorrow,did he say what time
say time,yes he said hed be here at 9 oclock
yes said hed 9 oclock,did he understand what the problem is
understand problem,yes i told him our doorbell doesnt work
yes told doorbell doesnt work,it shouldnt take him long to fix it
shouldnt take long fix,i do not even know why we need to fix it
dont even know need fix,in case we have visitors
case visitors,but they can just knock on the door
knock door,actually i want him to look at our carpet too
actually want look carpet,yes it would be nice if hed give us a new carpet
like house,yes its beautiful
yes beautiful,its perfect for us and the kids
perfect us kids,three bedrooms three bathrooms and a big back yard
three bedrooms three bathrooms big back yard,and we can afford it
afford,so are we going to buy it
going buy,i am afraid not
afraid,its too far from your job is not it
far job,i can not spend four hours on the road every day
spend four hours road every day,by the time you get home youll be too tired to even eat
time get home youll tired even eat,i wont be able to play with the kids
wont able play kids,no we have to find something closer to your job
boy chilly outside,it sure is
sure,in fact its chilly in the apartment too
fact chilly apartment,lets turn on the heat
lets turn heat,i will check to make sure that all the windows are shut
check make sure windows shut,it should be warmer in a few minutes
warmer minutes,its so nice to have a heated apartment
nice heated apartment,how did they survive in the old days
survive old days,they had fireplaces
fireplaces,someone had to chop the wood
someone chop wood,and carry it into the house
carry house,all we have to do is flip a switch
nice neighborhood,the streets are clean and quiet
streets clean quiet,the neighbors do not party on the weekends
neighbors dont party weekends,people take care of their lawns
people take care lawns,no rusty old cars are sitting in the front yards
rusty old cars sitting front yards,we never have to call the police about anything
never call police anything,our kids are completely safe
kids completely safe,so why are we selling our house
selling house,theyre building a 3story apartment building on the corner
theyre building 3story apartment building corner,so weve got to sell before property values go down
weve got sell property values go,yes i still can not believe our city council allowed this building
yes still believe city council allowed building,theyre probably getting something under the table
huge fire santa barbara,yes it was
yes,they said about 30 houses burned to the ground
said 30 houses burned ground,and they were expensive houses
expensive houses,i feel so sorry for those people
